Compound Number	Compound Name	Compound Formula	CAS Number	Molecular Wt	A	B	C	D	E	Tmin	Cp at Tmin 	Tmax	Cp at Tmax
12	Ammonia	H3N	7664-41-7	17.031	61.28900000	80925.0000000	799.40000000	-2651.00000000	0.0000000	203.15	7.58E-06	401.15	4.18E-05
16	Benzene	C6H6	71-43-2	78.112	162940.00000000	-344.9400000	0.85562000	0.00000000	0.0000000	278.68	1.33E-05	500.00	2.04E-05
32	1,2-Butanediol	C4H10O2	584-03-2	90.121	55.13600000	314200.0000000	280.19000000	1413.90000000	0.0000000	220.00	1.56E-05	670.00	5.20E-05
33	1,3-Butanediol	C4H10O2	107-88-0	90.121	42.15200000	324580.0000000	517.35000000	1449.50000000	0.0000000	196.15	6.25E-06	670.00	5.24E-05
49	Carbon monoxide	CO	630-08-0	28.01	65.42900000	28723.0000000	-847.39000000	1959.60000000	0.0000000	68.15	5.91E-06	132.00	6.48E-05
97	1,1-Difluoroethane	C2H4F2	75-37-6	66.05	67.15500000	105580.0000000	310.21000000	-490.54000000	0.0000000	154.56	9.92E-06	359.98	1.69E-05
125	Ethane	C2H6	74-84-0	30.069	44.00900000	89718.0000000	918.77000000	-1886.00000000	0.0000000	92.00	6.86E-06	290.00	1.24E-05
160	Heptane	C7H16	142-82-5	100.202	61.26000000	314410.0000000	1824.60000000	-2547.90000000	0.0000000	182.57	2.00E-05	520.00	4.07E-05
183	Hydrogen	H2	1333-74-0	2.016	66.65300000	6765.9000000	-123.63000000	478.27000000	0.0000000	13.95	1.26E-06	32.00	1.31E-05
188	Hydrogen sulfide	H2S	None	34.081	64.66600000	49354.0000000	22.49300000	-1623.00000000	0.0000000	187.68	6.73E-06	370.00	4.92E-05
193	Methane	CH4	74-82-8	16.042	65.70800000	38883.0000000	-257.95000000	614.07000000	0.0000000	90.69	5.36E-06	190.00	1.50E-04
295	Propane	C3H8	74-98-6	44.096	62.98300000	113630.0000000	633.21000000	-873.46000000	0.0000000	85.47	8.49E-06	360.00	2.61E-05
317	Terephthalic acid	C8H6O4	100-21-0	166.131	0.00000000	0.0000000	0.00000000	0.00000000	0.0000000	0.00	0.00E+00	0.00	0.00E+00
