CAS	CETANE
 589-34-4	42
100-41-4	6.3
100-66-3	6
1003-30-1	28.1
104-51-8	13
104-93-8	7
106-42-3	6.2
106-70-7	25.3
106-97-8	20.6
107-83-5  	34.5
108-08-7	28.6
108-10-1	12.8
108-38-3	7
108-67-8	8
108-87-2  	24.4
108-88-3	6
108-94-1	12.3
109-99-9	22.2
110-00-9	7
110-54-3	47.9
110-82-7  	20.2
110-83-8	18
111-66-0	40
115-10-6	57.5
119-64-2	8.9
1191-99-7	20
120-92-3	9
123-51-3	13.2
124-11-8	51
127-91-3	20.6
138-86-3	18.9
142-68-7	38.2
142-82-5	52.8
1678-91-7	35.8
1708-29-8	15.6
1839-63-0  	30.5
2052-15-5	14.4
2234-75-5	24.5
2785-89-9	20
287-92-3	6.1
292-64-8	22.3
3208-16-0	10.2
4466-24-4	13.1
464-06-2  	12.9
496-11-7	8.6
526-73-8	10.1
534-22-5	9.3
539-82-2	18.6
540-84-1  	17
565-59-3  	22
565-80-0	16.9
583-57-3	24
589-81-1  	45
591-21-9  	30.5
591-76-4  	43.5
592-27-8  	52.6
592-41-6  	25.8
592-76-7  	32.4
592-98-3	36
60-12-8	8
617-78-7  	34.1
623-42-7	6.4
624-24-8	13.3
625-86-5	10.9
71-36-3	12
71-43-2	14.3
75-83-2	24.4
75-85-4	12.4
764-13-6	20.7
78-70-6	12.9
78-78-4	24
78-79-5	13.3
78-83-1	8.5
78-92-2	8.5
80-56-8	18.9
90-05-1	19
93-51-6	20
95-47-6	8.3
95-63-6	8.9
96-22-0	22.1
96-37-7	17.2
96-41-3	11
96-47-9	21.4
97-99-4	17.9
98-00-0	10.8
