CAS	MON
4038-04-4	81.6
6094-02-6	78.8
556-82-1	74
589-34-4	55.8
590-35-2	95.6
100-41-4	97.9
100-42-5	102.5
100-66-3	92
1003-38-9	80.2
103-65-1	98.7
104-51-8	95.3
104-93-8	92
105-05-5	96.4
105-54-4	106
10574-37-5	80
106-42-3	109.6
106-70-7	84
106-97-8	90.1
106-98-9	79.9
1067-08-9	88.7
1067-20-5	91.6
107-01-7	83.5
107-39-1	86.5
107-40-4	86.2
107-83-5	73.5
107-87-9	103
1071-26-7	60.5
1074-17-5	92.2
1074-43-7	100.5
108-08-7	83.8
108-10-1	105.5
108-21-4	120
108-29-2	100
108-38-3	115
108-67-8	120.3
108-87-2	71.1
108-88-3	103.5
108-94-1	87.7
109-05-7	46.7
109-06-8	117.3
109-66-0	61.9
109-67-1	77.1
109-99-9	64.8
110-00-9	91.6
110-19-0	112.3
110-54-3	26
110-82-7	77.2
110-83-8	63
111-66-0	34.7
111-67-1	56.5
115-07-1	84.9
115-18-4	95
119-64-2	81.9
120-92-3	89.4
123-19-3	89.1
123-51-3	86.8
123-75-1	66.2
123-86-4	100
123-92-2	97.2
127-91-3	60.3
13151-55-8	30
135-98-8	95.7
137-32-6	88.3
138-86-3	73.2
141-78-6	120
141-93-5	97
142-29-0	69.7
142-68-7	35.4
142-82-5	0
1453-24-3	70.5
1587-04-8	86
15870-10-7	66.3
15910-22-2	87.5
1634-04-4	101.3
1638-26-2	89.3
1640-89-7	61.2
16746-86-4	83.6
1678-91-7	40.8
1678-97-3	81
1758-88-9	96
17618-76-7	80.4
17618-77-8	79.9
1839-63-0	70.1
19780-66-6	85.3
19780-67-7	82
2040-96-2	28.1
2049-95-8	96.8
2146-38-5	72
2213-32-3	84.6
2234-75-5	74.6
2453-00-1	72.6
24910-63-2	82.2
26232-98-4	90.9
2719-52-0	92.1
2738-19-4	78.9
2815-58-9	79.5
287-92-3	85
291-64-5	40.8
292-64-8	58.5
300-57-2	90.9
3073-66-3	82.6
3123-93-1	88
3404-55-5	83
3404-57-7	82
3404-61-3	71.5
3404-62-4	81.2
3404-65-7	81.4
3404-72-6	84.2
3404-73-7	86.1
3404-78-2	82.2
3524-73-0	64
3726-47-4	59.8
3769-23-1	74
3875-51-2	76.2
42154-69-8	82
4313-57-9	42.1
4461-48-7	84.3
4516-69-2	83.5
463-82-1	80.2
464-06-2	101.3
488-23-3	100.3
496-11-7	89.8
5026-76-6	62.6
513-35-9	84.7
513-81-5	83.4
526-73-8	100.8
527-53-7	102.5
527-84-4	96
534-22-5	86.1
538-68-1	81.7
538-93-2	98
539-88-8	102
540-84-1	100
542-92-7	86.1
547-63-7	104.7
558-37-2	93.3
560-21-4	99.4
560-23-6	85.7
562-49-2	86.6
563-16-6	83.4
563-46-2	81.9
563-78-0	82.8
563-79-1	80.5
563-80-4	102.2
564-02-3	99.9
565-59-3	88.5
565-75-3	95.9
565-77-5	80.9
565-80-0	92.5
583-48-2	81.7
583-57-3	78.6
584-02-1	90.8
584-94-1	78.9
589-38-8	93.5
589-43-5	69.9
589-53-7	39
589-81-1	35
589-90-2	68.2
590-66-9	85.9
590-73-8	77.4
591-21-9	71
591-49-1	71.9
591-76-4	46.4
592-13-2	55.7
592-27-8	23.8
592-41-6	63.4
592-42-7	37.6
592-43-8	80.8
592-46-1	80.7
592-47-2	80.1
592-57-4	53
592-76-7	50.7
592-77-8	68.8
592-78-9	79.3
592-98-3	68.1
592-99-4	74.3
594-56-9	90.5
598-25-4	42.4
598-96-9	85.8
6032-29-7	90.8
609-26-7	88.1
611-14-3	92.1
617-78-7	69.3
619-99-8	52.4
620-14-4	100
622-96-8	97
623-42-7	105
624-24-8	101.1
625-27-4	83
625-65-0	86
625-86-5	88.1
627-58-7	65.5
627-97-4	71
628-41-1	39.9
637-92-3	103
64-17-5	89.7
67-56-1	88.6
67-63-0	99
67-64-1	120
691-37-2	80.9
693-89-0	72.9
694-35-9	71.4
7094-26-0	87.7
71-23-8	89
71-36-3	85
71-41-0	75.9
71-43-2	115
7145-20-2	79.3
7154-79-2	95
73548-72-8	65.5
7357-93-9	82
7385-78-6	80.9
74-84-0	100.7
74-85-1	75.6
74-98-6	97.1
75-28-5	97.6
75-65-0	89
75-83-2	93.4
760-20-3	81.2
760-21-4	79.4
762-62-9	85.4
763-29-1	81.5
764-13-6	78.9
766-90-5	91.7
768-49-0	91.7
77-73-6	95.9
78-78-4	90.3
78-79-5	81
78-83-1	90.4
78-92-2	93
78-93-3	105.5
79-20-9	120
79-29-8	94.3
80-56-8	68.6
816-79-5	80.6
868-57-5	99.1
873-66-5	92.1
874-41-9	95.9
90674-66-1	88
922-61-2	81
933-98-2	91.9
934-74-7	102.5
95-13-6	106.7
95-47-6	100
95-63-6	108
96-14-0	74.3
96-22-0	99.9
96-37-7	80
96-47-9	73
97-62-1	109.5
97-64-3	108.1
98-06-6	107.4
98-82-8	99.3
98-83-9	101.3
99-87-6	97.7
