CAS	RON
142-82-5	0
592-27-8	21.7
110-54-3	24.8
589-53-7	26.7
589-81-1	26.8
13151-55-8	28
111-66-0	28.7
2040-96-2	31.2
619-99-8	33.5
1072-05-5	36
291-64-5	38.9
591-76-4	42.4
1678-91-7	45.6
1071-26-7	50.3
589-34-4	52
142-68-7	52.2
592-76-7	54.5
592-13-2	55.2
111-67-1	56.3
3726-47-4	57.6
598-25-4	61
109-66-0	61.7
5026-76-6	63.6
617-78-7	65
589-43-5	65.2
589-90-2	67.2
1640-89-7	67.2
1839-63-0	68.5
292-64-8	69.9
15870-10-7	70.2
592-42-7	71.1
584-94-1	71.3
73548-72-8	71.3
591-21-9	71.7
592-98-3	72.5
590-73-8	72.5
109-99-9	72.9
2234-75-5	73
592-99-4	73.3
107-83-5	73.4
592-77-8	73.4
96-14-0	74.5
108-87-2	74.8
592-57-4	74.8
4313-57-9	75
109-05-7	75.2
628-41-1	75.4
563-16-6	75.5
3524-73-0	75.5
627-97-4	75.9
583-48-2	76.3
592-41-6	76.4
127-91-3	80.6
2453-00-1	80.6
1067-08-9	80.8
562-49-2	80.8
583-57-3	80.9
3875-51-2	81.1
3073-66-3	81.3
3404-61-3	82.2
110-82-7	83
80-56-8	83.1
108-08-7	83.1
1678-97-3	83.4
110-83-8	83.9
1067-20-5	84
1453-24-3	85
463-82-1	85.5
71-41-0	85.8
96-47-9	86
3769-23-1	86.4
123-19-3	86.6
106-70-7	87.3
609-26-7	87.3
590-66-9	87.3
4516-69-2	87.7
591-49-1	89.1
538-68-1	89.2
2815-58-9	89.2
592-78-9	89.8
627-58-7	90.2
2146-38-5	90.3
2738-19-4	90.4
138-86-3	90.6
6094-02-6	90.7
694-35-9	90.8
109-67-1	90.9
123-75-1	90.9
565-59-3	91.1
96-37-7	91.3
105-30-6	91.7
75-83-2	91.8
1003-38-9	92.2
17618-77-8	92.2
78-78-4	92.3
1638-26-2	92.3
592-43-8	92.7
590-35-2	92.8
7145-20-2	93.1
142-29-0	93.3
3404-57-7	93.4
556-82-1	93.5
106-97-8	93.6
693-89-0	93.6
816-79-5	93.7
592-47-2	94
623-37-0	94.1
763-29-1	94.2
764-13-6	94.3
3404-62-4	94.3
17618-76-7	94.4
3404-78-2	95.2
19780-67-7	95.6
4038-04-4	95.6
7094-26-0	95.7
691-37-2	95.7
24910-63-2	96
760-20-3	96
90674-66-1	96.2
16746-86-4	96.3
119-64-2	96.4
3404-65-7	96.4
565-77-5	96.6
3404-55-5	96.8
7357-93-9	97
592-46-1	97.1
922-61-2	97.2
513-35-9	97.3
74-85-1	97.3
563-79-1	97.4
10574-37-5	97.5
106-98-9	97.5
625-27-4	97.8
42154-69-8	97.9
71-36-3	98
760-21-4	98.3
1587-04-8	98.6
123-51-3	98.8
7385-78-6	98.9
565-80-0	99
78-79-5	99.1
2213-32-3	99.2
513-81-5	99.2
4461-48-7	99.3
3404-72-6	99.3
6032-29-7	99.4
19780-66-6	99.5
540-84-1	100
108-29-2	100
625-65-0	100
107-01-7	100
123-92-2	100.6
123-86-4	100.8
137-32-6	101
287-92-3	101.3
625-86-5	101.3
108-94-1	101.3
120-92-3	101.3
115-07-1	101.3
563-78-0	101.3
589-38-8	101.9
108-11-2	102
75-28-5	102.1
534-22-5	102.5
565-75-3	102.5
611-14-3	102.5
300-57-2	102.5
598-96-9	102.5
563-46-2	102.5
115-18-4	102.7
100-66-3	103
584-02-1	103
624-24-8	103.4
104-93-8	103.5
79-29-8	103.5
1074-17-5	103.5
2719-52-0	103.5
15910-22-2	103.5
107-40-4	103.5
3404-73-7	103.5
542-92-7	103.5
547-63-7	103.6
71-23-8	104
496-11-7	104.4
104-51-8	104.4
873-66-5	104.4
933-98-2	104.4
762-62-9	104.4
78-92-2	105
75-65-0	105
526-73-8	105.3
488-23-3	105.3
766-90-5	105.3
768-49-0	105.3
26232-98-4	105.3
594-56-9	105.3
1068-87-7	105.3
108-10-1	105.7
107-87-9	105.7
560-21-4	106
67-63-0	106
105-05-5	106
1758-88-9	106
527-84-4	106
874-41-9	106
107-39-1	106
560-23-6	106
78-83-1	106.3
135-98-8	106.7
3123-93-1	106.7
96-22-0	106.8
623-42-7	107.2
100-41-4	107.4
77-73-6	107.4
97-64-3	107.5
2049-95-8	108
110-00-9	108.6
64-17-5	108.6
110-19-0	108.7
67-56-1	108.7
563-80-4	108.9
564-02-3	109.6
539-88-8	110
97-62-1	110.3
95-63-6	110.5
868-57-5	110.5
99-87-6	110.5
75-85-4	111
78-93-3	111
74-84-0	111
103-65-1	111
538-93-2	111.4
558-37-2	111.7
464-06-2	112.1
1074-43-7	112.1
620-14-4	112.1
16747-32-3	112.1
74-98-6	112.5
98-83-9	113.1
98-82-8	113.1
95-13-6	113.7
934-74-7	114.8
105-54-4	115.4
98-06-6	115.5
100-42-5	115.5
141-93-5	115.5
106-42-3	116.4
7154-79-2	116.8
108-38-3	117.5
141-78-6	118
1634-04-4	118.3
637-92-3	119
71-43-2	120
79-20-9	120
108-21-4	120
108-88-3	120.1
108-67-8	120.3
