CAS	linear
24304-00-5	1
22831-39-6	0
1761-67-7	0
4960-86-5	0
1605-72-7	0
38490-24-3	0
420-12-2	0
593-54-4	0
676-55-1	0
22831-42-1	1
16643-15-5	0
13983-20-5	1
6829-52-3	0
409-21-2	1
7782-39-0	1
7732-18-5	0
12065-11-1	0
151-56-4	0
12033-76-0	0
12265-14-4	0
13774-92-0	1
7698-05-7	1
54098-92-9	0
50-00-0	0
7782-44-7	1
12601-93-3	0
20548-54-3	1
3031-73-0	0
2465-56-7	0
13569-43-2	0
36336-08-0	0
353-36-6	0
14312-20-0	0
2696-92-6	0
14616-31-0	0
2781-85-3	0
593-75-9	0
6251-26-9	0
157-18-6	0
13595-81-8	1
62064-82-8	0
1449-65-6	0
7790-92-3	0
15861-05-9	0
3400-09-7	0
12589-02-5	0
13965-74-7	0
1603-84-5	0
13768-07-5	0
7647-01-0	1
6725-64-0	0
24167-76-8	0
593-67-9	0
7783-06-4	0
12190-75-9	1
14452-59-6	1
36835-58-2	0
1310-53-8	0
1305-84-6	1
61183-51-5	0
1333-74-0	1
7664-41-7	0
7782-41-4	1
7783-07-5	0
2944-05-0	1
302-01-2	0
14984-74-8	0
14915-07-2	1
5813-48-9	0
38063-40-0	0
24286-05-3	0
1303-00-0	1
13814-25-0	0
41916-72-7	0
14500-84-6	0
74-90-8	0
24567-53-1	0
2680-00-4	0
506-66-1	0
593-79-3	0
2533-82-6	0
74-83-9	0
14457-85-3	0
12602-39-0	0
25617-97-4	1
15454-33-8	0
13587-49-0	0
50927-81-6	1
14525-25-8	0
5505-49-7	0
7782-65-2	0
1455-13-6	0
32038-79-2	0
53844-93-2	0
463-58-1	0
13767-16-3	0
19287-45-7	1
60-34-4	0
19121-56-3	0
157-16-4	0
506-68-3	0
463-57-0	0
4109-96-0	0
31219-53-1	0
64-18-6	0
10545-99-0	0
14940-63-7	0
20901-21-7	0
13444-87-6	0
12251-90-0	0
3618-05-1	0
6303-21-5	0
6154-14-9	0
56400-02-3	0
13817-04-4	0
7790-89-8	1
64-17-5	0
58436-39-8	0
66904-99-2	0
373-52-4	0
35576-91-1	0
334-88-3	0
6569-82-0	0
10024-97-2	0
53750-02-0	0
14500-81-3	0
74-93-1	0
14314-42-2	0
16355-69-4	0
12597-05-6	0
29210-66-0	0
115-10-6	0
24981-14-4	0
593-60-2	0
1309-48-4	1
17739-47-8	1
1305-78-8	1
3017-23-0	1
13637-65-5	0
39594-91-7	0
25756-87-0	0
2053-29-4	0
1493-02-3	0
593-68-0	0
13780-28-4	0
16890-80-5	0
14519-03-0	0
12041-50-8	1
7782-92-5	0
7727-37-9	1
67-56-1	0
7784-42-1	0
13768-60-0	1
107257-40-9	0
74-85-1	0
2565-30-2	0
14885-60-0	1
10405-27-3	0
1747-99-5	0
14940-65-9	0
20859-73-8	1
15455-99-9	0
15435-77-5	0
2210-34-6	0
7803-51-2	0
593-70-4	0
13765-45-2	0
52323-02-1	0
2171-96-2	0
20729-41-3	0
18852-54-5	0
31139-16-9	0
34627-31-1	0
52509-85-0	0
14044-97-4	0
15056-34-5	0
13517-11-8	0
10218-87-8	0
74-87-3	0
463-49-0	0
14034-79-8	0
10028-17-8	1
112296-53-4	0
10028-15-6	0
506-77-4	0
26981-93-1	0
13445-50-6	0
36429-11-5	0
12357-66-3	0
157-22-2	0
7446-34-6	1
10043-11-5	1
55753-38-3	0
13598-78-2	0
593-78-2	0
593-53-3	0
676-49-3	0
14519-10-9	0
7803-49-8	0
13536-94-2	0
13863-59-7	1
5951-19-9	0
1111-74-6	0
74-89-5	0
14986-65-3	0
12049-73-9	0
25400-21-9	0
13465-07-1	0
14808-60-7	0
593-61-3	0
7726-95-6	1
12232-25-6	1
14939-17-4	0
13536-59-9	1
463-56-9	0
14017-34-6	0
124-38-9	0
124-40-3	0
10599-90-3	0
7664-39-3	1
12013-55-7	1
10060-11-4	0
74-82-8	0
1590-87-0	1
23361-55-9	0
12063-98-8	1
13773-81-4	0
65756-42-5	0
506-80-9	0
1304-56-9	1
1517-53-9	0
23361-56-0	0
13863-41-7	1
16544-95-9	0
15230-48-5	0
12004-45-4	0
13587-50-3	0
110601-75-7	1
157-26-6	0
1495-50-7	0
12596-80-4	0
1449-64-5	0
593-63-5	0
13537-30-9	0
67-62-9	0
18820-63-8	0
11062-77-4	1
7782-50-5	1
12136-60-6	0
1066-43-9	0
7722-84-1	0
13817-06-6	0
7803-62-5	0
24623-77-6	0
14332-28-6	0
14939-45-8	0
40100-16-1	0
13827-32-2	1
74-86-2	0
14457-70-6	0
13780-29-5	0
25756-83-6	0
13762-18-0	0
630-08-0	1
13759-10-9	0
23550-45-0	1
115-07-1	0
6914-07-4	0
39432-25-2	0
25681-79-2	1
12597-03-4	0
146956-39-0	0
16734-12-6	1
420-05-3	0
74-84-0	0
7782-89-0	0
